,Run 800 Meters; 40 sdhp 24/16 KB?s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters
1539,15 MIN CAP; KB Down Ladder; Box Jump Up Ladder; 25 ~ 20 ~ 15 ~ 10 ~ 5; 5 ~ 10 ~ 15 ~ 20 ~ 25; KB-35/25# Box-24/20?
1540,FOR TIME 10 MIN CAP; 21 ~ 15 ~ 9 ~ 6 ~ 3; Wall Ball 16/12#; Burpees
1541,5 RFT (6 am did 3 RFT); 200 M Row; 12 Box Jumps 24/20?; 10 TTB; *Mandatory Step Down!!
1542,FOR TIME-10 MIN CAP; 21 ~ 15 ~ 9 Deadlift 80% Bodyweight; 9 ~ 6 ~ 3 Ring Dips No Band
1543,"9am-On-Ramp; 9am-Trial Class; There will be NO 10AM CLASS! We are very sorry for the inconvenience and we hope you can adjust your schedules to be here for 8am!; Also, if you are able to, please try to make it down to the Steelfit Championships to support Zach, Raye, and Brandon as they kick ass!"
1544,2 Rounds; 3 Min AMRAP; 6 OHS 95/65; 6 Burpees over the bar; -Rest 1 MIN-; 3 Min AMRAP; Double Unders; -Rest 1 MIN-
1545,3 Rounds Each for Time:; 25 Calorie Row; 25 Wall Ball 16/12; 12 Knee Ups; -Rest 2 Min-
1546,15 Clean and Jerk 115/75; 800m Run; 15 Clean and Jerk 115/75; 800m Run; 15 Clean and Jerk 115/75; 800m Run; 15 Clean and Jerk 115/75
1547,(18 Min Cap); 5 Rounds for Time; 100m Farmer Carry 53/35; 15 Burpees
1548,10 Min AMRAP; 200m Run; 15 Double Unders; 12 Box Jumps 24/20
1549,30 Minute EMOM; Minute 1: 10 Wall Ball 16/12; Minute 2: 10 Calories on the Rower; Minute 3: 10 Toes to Bar
1550,8 Minute CAP; 21-15-9; Kettlebell Swings 53/35; Box Jumps 24/20
1551,EMOM 10 Minutes; 7 Lateral Burpees; 5 Deadlifts 205/145
1552,8 Min AMRAP; 25 Double Unders; 8 Bar Facing Burpees; 8 Power Cleans 95/65
1553,For time:; 30 Squat Cleans 95/65; 800m Run; 30 Shoulder to Overhead 95/65
1554,FOR TIME; 15-12-9; Power Clean; Front Squat; Push Jerk; 95/65#
1555,3 Min AMRAP; 3 Deadlift; 3 Bar Facing Burpees; 225/155; 185/125
1556,10 Min AMRAP; 4 Strict HSPU to one Abmat; 8 Hang Power Snatch 75/55
1557,16 Min AMRAP; 5 HSPU (1 Mat or Pike HSPU); 10 Pullups (6 Strict); 15 Box Jumps 20/20
1558,RX +; 40 Min AMRAP; 3 Clean and Jerk 185/135; 6 Burpees to a Target; 9 WallBall 30/20; 40 Min AMRAP; 3 Clean and Jerk 125/85; 6 Burpees to a Target; 9 WallBall 16/12
1559,5 Rounds for Time; 10 Power Cleans 115/75; 20 Burpees; 400m Run
1560,21 -15 -9; Clean and Jerk 115/75; Lateral Burpees over Bar
1561,3 Rounds For Time (8 Minute Cap); 10 Clean and Jerk; 10 Lateral Burpees Over Bar
1562,Every Minute On the Minute for 16 Minutes; Odd Minute: 2 Squat Snatch at a heavy and challenging weight; Even Minute: C = 50 DU / P = 30 DU / F = 10DU Attempts
1563,"?RJ?; Veteran LAPD officer and United States Marine Corps Reservist Sergeant Major Robert J Cottle, 45, was killed by an improvised explosive device while on patrol in Southern Afghanistan on Wednesday, March 24, 2010. RJ joined the Marines at age 18, and the LAPD in 1990. His various LAPD assignments included Hollywood Vice, Southeast Area, LAPD Dive Team and, most recently, SWAT. He is survived by his wife Emily and daughter Kaila, who was 9 months old at the time of his death.; Scaled to:; Five rounds for time of:; Run 800 meters; 15 ft Rope Climb, 3 ascents; 35 Push-ups"
1564,30 Double Unders; 12 Burpees; 10 Pistols
1565,12 Min AMRAP; Run 200m; 15 Pushups; Run 200m; 30 Air Squats
1566,3 Rounds; 100m Sled Sprint; Rest 5 Min
1567,Every 3 minutes for 18 Minutes; Run 400m; *Score will be slowest and fastest time.; 300m
1568,"20 Min AMRAP; 10 Deadlifts 185/135; 10 Box Jump Overs 24/20; *Partner 1 will complete 1 full round, then Partner 2 will complete 1 full round. Score will be number of rounds completed in this fashion in 20 minutes.; 155/105, 20/20"
1569,?Death By Thrusters?; Minute 1: 1 Thruster; Minute 2: 2 Thrusters; Minute 3: 3 Thrusters; Continue as long as you can until you can?t complete the required number of Thrusters within the minute.; 95/65
1570,3 Rounds For Time; Run 400m; 50 Situps; 3 Rounds For Time; Run 300m; 40 Situps
1571,75 Burpees for time; *3 Power Cleans EMOM 135/95
1572,FOR TIME-6 MINUTE CAP; 75 Double Unders; 40 Wallball 16/12#; 25 Burpees
1573,"?Three Wise Men?; ?Jeremy?; Complete as many rounds and reps as possible in 4 minutes of:; 5 Hang Squat Snatch (Elite = 185/125 lbs, RX = 135/95 lbs, Scaled = 95/65 lbs); 10 Burpees Over the Barbell; Rest 2 minutes, and then?; ?Ben?; Complete as many rounds and reps as possible in 4 minutes of:; 10 Power Cleans (Elite = 185/125 lbs, RX = 135/95 lbs, Scaled = 95/65 lbs); 20 Pull-Ups; Rest 2 minutes, and then?; ?Beau?; Complete as many rounds and reps as possible in 4 minutes of:; 15 Box Jump-Overs (Elite & RX = 24?/20?; Scaled-24?/20? Step-Overs Allowed); 30 Wall Ball Shots (Elite & RX = 20/14 lbs; Scaled-14/8 lbs)"
1574,10 Minute AMRAP; 15 Overhead Squats 95/65; 12 Box Jumps 24/20; 9 TTB; 10 Minute AMRAP; 15 Overhead Squats 75/55; 12 Box Jumps 20/20; 9 Knee Ups (or 5 TTB)
1575,"For time:; Buy In: 50 Medicine Ball Squat Cleans; 3 Rounds; 15 Box Jumps; 30 Situps; Cash Out: 50 Medicine Ball Squat Cleans; 16/12, 24/20"
1576,"Partner ?Holleyman?; ?U.S. Army Staff Sergeant Aaron N. Holleyman, 27, of Glasgow, Montana, assigned to the 1st Battalion, 5th Special Forces Group, based in Fort Campbell, Kentucky, was killed on August 30, 2004, when his military vehicle hit an improvised explosive device in Khutayiah, Iraq. He is survived by his daughters Shelby and Erin, son Zachary, parents Ross and Glenda, and siblings Kelly and Daniel.?-crossfit.com; 40 Rounds For Time; *Alternate every completed round; 5 Wall Balls 20/14; 3 HSPU; 1 Power Clean 225/155; 135/95, 16/12"
1577,3 Rounds; 15 CTB Pullups; 12 Lateral Burpee Box Jump Overs 24/20; 9 Front Squats 165/115; 3 Rounds; 15 Pullups; 12 Lateral Burpee Box Jump Overs; 9 Front Squats 115/75
1578,*Compare to June 22nd; ?Annie?; 50-40-30-20-10; Double Unders; Situps; 40-30-20-10-5; Double Unders; Situps
1579,"4 Rounds; 15 Power Clean 115/75; 15 Chest to Bar Pullups; 95/65, Pull-Ups"
1580,"7 Minute AMRAP; 3 Power Snatch; 3 TTB; 6 Power Snatch; 6 TTB; 9 Power Snatch; 9 TTB; .. and so on.; RX: 95/65; 75/55, Knees Up"
1581,"7 Minute AMRAP; 7 OHS 95/65; 14 Box Jumps 24/20; 75/55, 20/20"
1582,"Every 3 Minutes, for 15 Minutes; 10 Hang Power Cleans 155/105; 10 Front Squats; Gymnastics; 4 Rounds; :40s Hollow Hold; 1:20 Rest; 115/75"
1583,12-10-8-6-4-2; Power Snatch 75/55; Bar Facing Burpees; 55/35
1584,"24 Minute AMRAP; 200m Run; 12 Hang Squat Snatch 115/75; One partner works at a time, alternate rounds; 75/55"
1585,"10 Min AMRAP; 50 Double Unders; 15 Burpees; 25 double unders, 10 Burpees"
1586,8 Min AMRAP; 15 KBS 70/53; 15 TTB; 8 Min AMRAP; 12 KBS 53/35; 12 TTB(Knees Up)
1587,10 Rounds; Row 250m; Rest 1 Min Between; 200m
1588,15-12-9-6-3; Front Squats 115/75; Bar Facing Burpees; 75/55
1589,(Courtesy of Coach Anthony); Every 4 minutes complete 3 rounds of the following:; 10 Calories; 6 CTB 6 Ring Dips (Alternate movement)
1590,For Time: 12 Minute Cap (Courtesy of Coach Claudia); RX; 100 Wall Ball 30/20#; EMOM 5 Power Cleans 135/95#; 75 Wall Ball 20/14#; EMOM 5 Power Cleans 95/65#
1591,"# 1; 3 Rounds For Time; 15 STO (C: 135/95, P:115/75, F: Choice); 50 Double Unders (P: 30 DUS, F: 50 Singles)"
1592,"For time,; 100 Double Unders; 50 TTB; 25 Front Squats 115/75; 75 Double Unders; 30 TTB; 20 Front Squats 95/65"
1593,"Every Minute, On the Minute for 12 Minutes; Odd: 12 Unbroken OHS As heavy as possible; Even: 12 TTB; Knees Up"
1594,"Complete 5 Rounds Each, Relay Style; 9-6-3; Kettlebell Swings 70/53; Box Jumps 30/24; 53/35, 24/20"
1595,3 Rounds NOT for time; 10 Dumbbell Row Each Arm; 30s Side Plank Each Side; 10 Single Leg RDL each side
1596,"2/4/14, 6/7/13, 4/12/12"
1597,"400m Run; 15 Shoulder to Overhead 155/105; 400m Run; 30 Kettlebell Swings 70/53; 400m Run; 45 Wall Ball 20/14; 400m Run; 115/75, 53/35, 16/12"
1598,"500m Row; 30 Shoulder to Overhead 95/65; 400m Run; 20 Handstand Pushups; 400m Run; 30 Shoulder to Overhead 95/65; 500m Row; 75/55, Pike HSPU"
1599,Skill: Bar Muscle Ups
1600,Tabata (Alternate Movements for 8 Min); Plank; Hollow Holds
1601,7 Rounds for time; 7 TTB; 7 Shoulder to Overhead 135/95; 95/65
1602,"On a 12 minute clock, complete for total reps; 1 Minute of Box Jumps 24/20; 1 Minute of TTB; 2 Minutes of Box Jumps; 2 Minutes of TTB; 3 Minutes of Box Jumps; 3 Minutes of TTB; Score will be total number of reps.; Knees Up"
1603,For time(10 Minute Cap):; 500m Row; 50 Overhead Squats 95/65; 50 Burpees; 75/55
1604,"21 Minute Cap; Work for 1:30, Rest for 1:30 Until Completion; 3 Rounds for Time; 80 Double Unders; 30 Goblet Squats 53/35; 30 Situps; 40 Du, 35/25"
1605,"For time:; 20 Front Squats 155/105; 30 Toes To Bar; 40 Kettlebell Swings 53/35; 500m Row; 135/95, 35/25, Knees up"
1606,"7-6-5-4-3-2-1; Muscle Ups; Deadlifts 275/185; 225/155 DL, Any Variation of Muscle Ups (Ex: 3-3-2-2-2-1-1)"
1607,"12 Minute AMRAP; 30 Double Unders; 15 Burpees; 15 KBS 53/35; 35/25, 20 DUs"
1608,1000m Row Time Trial
1609,15-12-9; Box Jump 24/20; Pistols (each leg); HSPU (Rx+ Strict); Scaled Pistols; 20/20; Pike HSPU
1610,"For time:; 800m Run; Then; 5 Rounds; 30 Double Unders; 20 Situps; 10 Sumo Deadlift High Pulls 115/75; 20 DUs, 95/65"
1611,200m Sled Push x 3; RX: 90/45; 45/25
1612,10 Minute AMRAP; 10 Hang Power Snatch 95/65; 10 Burpees over the Bar; 75/55
1613,"10 Min AMRAP with Partner; Partner 1: 50 Double Unders (P: 30 DUs, F: 60 Singles); Partner 2: Max Situps; *Switch every time one partner finishes the jump rope; *Score is number of situps"
1614,"8 Minute Clock; Perform 6 Rounds of:; 12 Kettlebell Swings 53/35; 12 Abmat Situps; In the remaining time,; Row MAX Calories; *Score = Calories Rowed; 35/25"
1615,"3 Rounds for time; 50 DUs; 40 Wall Ball 20/14; 30 DB Snatch 50/35; 20m Handstand Walk; 30 Dus, 16/12, 40/25, 6 Wall Walks"
1616,5RFT:; ?12x DB Snatches (35/25#); 9x Toes 2 Bar; 6x Burpees
1617,For Time:; 3 Rounds; 200m Run; 10x KB Swing (24/16kg); -Rest 3mins; 2 Rounds; 400m Run; 20x KB Swing; -Rest 2 mins; 800m Run
1618,?Grace?; 30x Clean and Jerks; (135/95#)
1619,14 min AMRAP; 4x Side Shuffle ??; 20x Russian Twists (35/25#); 20x MTN Climbers with hands on plate; -Rest :20 b/w rounds
1620,"Every minute, on the minute, for 15 minutes:; Minute 1: 12 Kettlebell Swings + 6 Goblet Squats; Minute 2: 30 seconds of Rowing for Calories; (start the row at 15 seconds into the minute?finishing at 45 seconds); Minute 3: 6-8 Strict Pull-Ups"
1621,"Every minute, on the minute, for 9 minutes (3 sets each) for max reps:; Minute 1 ? 30 seconds of Toes to Bar; Minute 2 ? 30 seconds of Assault Bike for Calories; Minute 3 ? 30 seconds of Ring Dips"
1622,3 Min AMRAP X 3; 10 Box Jumps; 8 Air Squats; 6 Sit-Ups; *1 Min Rest between rounds; 10 Myths About Olympic Weightlifting That Need to Stop
1623,?Every Rep Counts?; 20 Min AMRAP; 10 Wall Balls ? 20/14; 10 Box Jumps ? 20?; 10 Dead Lifts ? 205/145; 10 Burpees
1624,5 Rounds; 10 KB swing Red/Yellow; 8 Goblet Squats; 6 Toes 2 Bar
1625,5 rounds; 30 Wall Ball 20/14; 15 Push-Ups
1626,7 Min AMRAP; 2 Hand Release Burpees over Barbell; 2 Clean & Jerk 115/75lbs (Pro 155/105lbs); 4 Hand Release Burpees over Barbell; 4 Clean & Jerk; 6?.; Continues to go up by 2 reps until the 7 minutes is complete. Score is total reps
1627,Partner WOD; Tail Pipe; 3 Rounds; 250 Row; Kettle Bell Rack Hold Red/Yellow; *Partner A will Row 250m While Partner B hold TWO RED kettlebells in the rack position.; Once the row is completed partners will switch. The workout is finished when each partner has done 3 rounds of rowing and Rack Holding.
1628,"Spice Girls; 3 rounds at each movement before rotating.; :40s for Max Reps, :20s Rest; 1. Row for Calories; 2. Pull-Ups; 3. Pushups; 4. Kettlebell Swings (53/35"
1629,12 Min EMOM; Odd: 5 Front Squat 135/95; Even: 7 Toes 2 Bar; M1:115/80; M2: 95/65; A little late but still appropriate!
1630,For time:; 21 KB Swings Red/Yellow; 21 K2E; 21 Double Unders; 18 KB Swings; 18 K2E; 18 Double Unders; 15 KB Swings; 15 K2E; 15 Double Unders; 12 KB Swings; 12 K2E; 12 Double Unders
1631,10 Min AMRAP; 10 Box Step Ups; 5 T2B; 2 Burpees
1632,800m Run; Then?; 6 Rounds; 14 Burpees over the KB; 14 Goblet Squats; 14 KB Swings
1633,?Every Rep Counts?; 20 Min AMRAP; 10 Wall Balls ? 20/14; 10 Box Jumps ? 20?; 10 Dead Lifts ? 205/145; 10 Burpees
1634,"Endurance; 3 Min Max meter Row x 2; Then?.; Hotshots 19; 6 Rounds; 30 Air-Squats; 19 Power Cleans 135/95; 7 Strict Pull-ups; Run 400 meters; 2 Min Rest?; Death By Ball Slam (12 Minute); 1 Min = 5 Ball Slams; 2 Min = 6 Ball Slams; ect?.; * If you fail to get all burpees you are doing in that particular minute you cut the reps in half and begin counting up again. For example if I am at 12 Ball Slams and don?t make it, The next minute I will do 6 Ball Slams and continue on from 6"
1635,"WOD; ?Dirty Diane?; 400m Sprint/Row; -then-; 21-15-9; Deadlift (225,125); HSPU; -then-; 400m Sprint/Row"
1636,"12 Min AMRAP; Up Ladder of 3 (3,6,9,12?..); Burpees; Squat Cleans 135/95; M1: 115/95; M2: 95/65"
1637,"15 Min Death by?; Burpees; Shoulder 2 OH w/Barbell; * Begin at 5 reps.; ** If reps aren?t completed in the minute, cut them in half and start from the half reps again."
1638,16 Min EMOM; Odd: 10 Shoulder 2 OH 135/95; Even: 25 Sit-Ups; M1: 115/80; M2: 95/65
1639,EMO2M 30 Mins; 6 Goblet Squats; Sprint Y2Y and back; 3 Goblet Squats; Rest 10 mins?.; 1 Mile Run
1640,Tabata; Push Press 115/80; Box Step-Ups; Toes 2 Bar; Wall Balls; M1: 95/65; M2: 75/55; :20 Seconds on/:10 Seconds off x 8 Rounds. 1 Min rest in between rounds
1641,Chipper; For Time; 30 Lunges; 30 Push-ups; 30 Air-Squats; 30 Double Unders; 30 Sit-ups; 20 Burpees
1642,Workout of the Day; A.; Three sets of:; Front Squats x 8-10 reps @ 3011; Rest 45 seconds; Pull-Ups x 5-7 reps @ 2111; (use an appropriate weight or modification for this rep range); Rest 45 seconds; Hollow Rock/Hold x 30-45 seconds; Rest 45 seconds; Jump Rope (Single or Double-Unders) x 45-60 seconds; Rest 45 seconds; B.; Four sets of:; Rope Whips x 30 seconds; Rest 30 seconds; Mountain Climbers x 30 seconds; Rest 30 seconds
1643,Complete as many rounds and reps as possible in 18 mintues of:; 10 Ring or Stationary Dips; 15 Kettlebell Swings; 20 Box Step-Ups with Dumbbells
1644,"A.; Every 2 minutes, for 10 minutes (5 sets):; 20-22 Walking Lunges (32/24 kg KBs in each hand); Remember this one from March 30, 2016? Goal is to either go heavier today, or take two extra steps per set.; B.; Every 3 minutes, for 15 minutes (5 sets):; Bench Press x 3-5 reps; Goal is to establish today?s 5-RM.; C.; Three sets of:; Single-Arm DB Row x 8-10 reps each @ 2111; Rest 45 seconds; Hollow Holds/Rocks x 60 seconds; Rest 45 seconds"
1645,"Workout of the Day; Four sets for max reps against a 4-minute running clock, complete:; Row 500 Meters; Double-Unders x Max Reps; Rest 4 minutes between sets"
1646,"A.; Every minute, on the minute, for 20 minutes (4 sets of each):; Minute 1 ? Supine Ring Rows x 8 reps @ 2111; Minute 2 ? Left Leg Box Step-Ups with DBs x 6-8 reps @ 3111; Minute 3 ? L-Seated DB Press x 8 reps @ 2011; Minute 4 ? Right Leg Box Step-Ups with DBs x 6-8 reps @ 3111; Minute 5 ? Tempo Push-Ups x 10 reps @ 1111; B.; Every minute, on the minute, for 9 minutes (3 sets each) for max reps:; Minute 1 ? 30 seconds of Toes to Bar; Minute 2 ? 30 seconds of Assault Bike for Calories; Minute 3 ? 30 seconds of Ring Dips; C.; Three sets of:; Reverse Snow Angels x 20 reps; Rest 30 seconds; Hollow Hold x 60 seconds; Rest 30 seconds"
1647,A.; Three sets of:; Strict Dumbbell Press x 10 reps @ 2011; Rest 45 seconds; Supine Ring Rows x 10 reps @ 2111; Rest 45 seconds; V-Ups x 10-20 reps; Rest 45 seconds; B.; Five rounds for time of:; Run 300 Meters; 10 Strict Handstand Push-Ups or L-Seated Dumbbell Press; 10 Strict Pull-Ups
1648,"Workout of the Day; A.; Every 4 minutes, for 24 minutes (6 sets), for times:; Run 400 Meters; 10-12 Burpee Box Jump-Overs (24?/20?); B.; 10-15 Minutes of Focused Mobility Work ? identify greatest areas of need and work with coaches on mobility work that will best address those areas"
1649,A.; Four sets of:; Front Squat x 6 reps @ 2011; Rest 45 seconds; Turkish Get-Ups x 2 each arm; Rest 45 seconds; Hollow Hold or Rock x 60 seconds; Rest 45 seconds; B.; For time:; Run 800 Meters; 15 Strict Pull-Ups; 40 Walking Lunges with Kettlebells (heavy); 15 Strict Pull-Ups; Run 800 Meters
1650,"Every 4 minutes, for 32 minutes (8 sets):; Row 250 Meters; 15 Kettlebell Swings; 10 Dumbbell Push Press"
1651,"A.; Four sets of:; Russian Step-Ups x 8-10 reps each leg; Rest 60 seconds; Dumbbell Bench Press x 8-10 reps @ 2011; Rest 60 seconds; Side Plank x 30 seconds each side; Rest 60 seconds; B.; In teams of two, alternate tasks to complete as many rounds and reps as possible in 15 minutes of:; 20 Kettlebell Swings; 10 Burpees; 200 Meter Run"
1652,"A.; Three sets, not for time, of:; Stationary or Ring Dips x 5-7 reps; Kettlebell or Dumbbell Snatch x 5-7 reps each arm; Double-Under Practice x 45-60 seconds; B.; Three rounds for time of:; 20 Kettlebel Swings; 15 Pull-Ups; 400 Meter Run"
1653,A.; Four sets of:; Overhead Squat x 6-8 reps; Rest 45 seconds; Strict Pull-Ups x 3-5 reps @ 3110; (add weight if possible); Rest 45 seconds; Plank from Elbows x 45-60 seconds; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 7 minutes of:; 40 Kettlebell Swings; 30 Push Press; 20 Box Jumps or Step-Ups; C.; For time:; 500 Meter Row
1654,"Workout of the Day; A.; In teams of two, alternating rounds, complete as many rounds and reps a possible in 4 minutes of:; 8 Kettlebell Swings; 4 Burpees; Rest 2 minutes; In teams of two, alternating every 5 reps, complete as many reps a possible in 4 minutes of:; Burpee Pull-Ups; Rest 2 minutes; In teams of two, alternating rounds, complete as many rounds and reps a possible in 4 minutes of:; 6 Wall Ball Shots; 6 Burpees; B.; Optional Finisher ? For time:; 500 Meter Row"
1655,"A.; Every 2 minutes, for 18 minutes (3 sets of each):; Station 1 ? Strict Supinated-Grip Pull-Ups x 6-12 reps @ 21X0; Station 2 ? Strict Handstand Push-Ups or L-Seated DB Presses x 8-12 reps; Station 3 ? Alternating Bowler?s Lunges x 20 reps; B.; Complete as many rounds and reps as possible in 10 minutes of:; 5 Strict Pull-Ups; 10 Push-Ups; 15 Wall Ball Shots (20/14 lbs"
1656,"In teams of three, with only one teammate per station, complete as many rounds and reps as possible in 30 minutes of:; Station 1-; 10 Box Jumps; 5 Pull-Ups; Station 2-; 10 Burpees; 5 Dumbbell Ground to Overhead; Station 3-; 300 Meter Run w/Med Ball; Teammates can only rotate after the running partner returns. Record total rounds and reps per station"
1657,"Workout of the Day; A.; Every 3 minutes, for 18 minutes (6 sets), rotate through the following stations:; Minutes 1-3 & 10-12 ? Rope Climb Technique Work ? no more than 4 ascents; (if you don?t have a rope, work on achieving 12 perfect L-Pull-Ups); Minutes 4-6 & 13-15 ? Freestanding Handstand Hold Work; (use partner assists to learn balance points and accumulate time upside down); Minutes 7-9 & 16-18 ? Roll to Candlestick x 8-12 reps; B.; Three sets, for max reps/calories of:; 3 Minutes of Rowing (for Max Calories); 2 Minutes of Strict Handstand Push-Ups; 1 Minute of Strict Pull-Ups; Rest 3 minutes"
1658,A.; Three sets of:; Barbell or Dumbbell Shoulder Press x 6-8 reps; Rest 45 seconds; Supine Single Leg Hip Bridge x 6-8 reps each leg @ 2011; Rest 45 seconds; Supine Ring Rows x 8-10 reps @ 2111; Rest 45 seconds; Plank from Elbows x 45 seconds; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 7 minutes of:; 7 L-Seated Dumbbell Press; 7 Ring or Stationary Dips; 7 Burpees
1659,"A.; Three sets of:; Strict Pull-Ups x Max Reps; Rest 45 seconds; Nose-to-Wall Handstand Hold x 45-60 seconds; Rest 45 seconds; Strict Supinated-Grip Pull-Ups x Max Reps; Rest 45 seconds; Hollow Rocks or Holds x 45 seconds; Rest 45 seconds; B.; Every 8 minutes, for 32 minutes (4 sets), complete the following as quickly as possible:; Row 500 Meters; Run 400 Meters; 30 Push-Ups"
1660,"Workout of the Day; We?re on the move again this weekend!; Join us for a fun 2.2 mile run with a few twists. We have some fun surprises for everyone. Groups are leaving from the gym at our regularly scheduled times ? 8:30, 10:00 and Noon.; For our out of town crew . . .; Run or Row 5k ? goal is to beat your time from last Saturday"
1661,"A.; Four sets of:; Deadlift x 8 reps @ 2111; Rest 45 seconds; L-Seated Dumbbell Press x 8 reps @ 2011; Rest 45 seconds; Supine Ring Row x 8 reps @ 2111; Rest 45 seconds; Side Plank x 30 seconds each side; Rest 45 seconds; B.; Complete rounds of 30, 20 and 10 reps for time of:; Kettlebell Swings; Shoulder to Overhead; Jumping Lunges"
1662,"Workout of the Day; Complete the following congo-line style in teams of three, with each partner completing the following:; A.; For time:; Row 1000 Meters; 50 Thrusters (45/33 lbs); 30 Pull-Ups; Immediately followed by?; B.; For time:; Row 1000 Meters; 25 Thrusters (95/65 lbs); 15 Chest-to-Bar Pull-Ups; Partner A begins, and as soon as they have completed the 1000 meter row, Partner B may get on the erg and begin his 1000 meter row. A partner may only advance to the next station once the person ahead of them has completed the task and moved to the next station. Partner A may begin the B portion of the workout as soon as Partner C has completed his 1000 meter row and moved on to Thrusters.; If you don?t have a couple of training partners to perform this with, do the following?; A.; ?Jackie?; For time:; Row 1000 Meters; 50 Thrusters (45/33 lbs); 30 Pull-Ups; Rest until the running clock reaches 15:00, and then?.; B.; For time:; Row 1000 Meters; 25 Thrusters (95/65 lbs); 15 Chest-to-Bar Pull-Ups"
1663,"A.; Every minute, on the minute, for 21 minutes:; Minute 1 ? Bulgarian Goat Bag Swings x 8 reps @ 2011; Minute 2 ? Supine Leg Curl with Med Ball x 8 reps; Minute 3 ? Tempo Push-Ups x 10-12 reps @ 1111; B.; Complete as many reps as possible in 12 minutes of:; 1 Russian Kettlebell Swing; 1 Dumbbell Push Press; 2 Russian Kettlebell Swings; 2 Dumbbell Push Presses; 3 Russian Kettlebell Swings; 3 Dumbbell Push Presses; ?and so on, ascending the ladder.; Note what weights you used for the swings and push press"
1664,Workout of the Day; Five rounds for max reps of:; Five rounds for max reps of:; 60 seconds of Pull-Ups; 60 seconds Hand-Release Push-Ups; 60 seconds Burpees; 60 seconds Rest
1665,"Workout of the Day; In teams of two, with only one person working at a time, complete:; 100 Kettlebell Swings (32/24 kg); 400 Meter Run*; 100 Barbell Thrusters (45 lbs); 400 Meter Run; 80 Burpees; 400 Meter Run; 100 Barbell Thrusters; 400 Meter Run; 100 Kettlebell Swings; *Both athletes perform the run at the same time"
1666,A.; Three sets of:; Good Mornings x 6-8 reps @ 3011; Rest 45-60 seconds; Renegade Rows x 5 reps; Rest 45-60 seconds; Half-Turkish Get-Ups x 5-6 reps each arm; Rest 45-60 seconds; Double-Under Practice x 60 seconds; B.; Complete as many rounds and reps as possible in 10 minutes of:; 5 Shoulder to Overhead; 10 Box Jumps; 15 Kettlebell Swings; C.; Two sets of:; 200 Meter Farmer?s Carry; Rest as needed
1667,A.; Four sets of:; Deadlift x 6-8 reps; Rest 60 seconds; Wall Climbs x 2-3 reps; Rest 60 seconds; Hollow Hold/Rock x 30-45 seconds; Rest 60 seconds; B.; Three rounds for time of:; 30 Overhead Walking Lunge Steps; 15 Pull-Ups; 400 Meter Run
1668,"A.; Five sets of:; Unsupported Seated Strict Press x 5-6 reps; (sit on a bench without back support and press the barbell from shoulder to overhead); Rest 2-3 minutes; B.; Against a 2-minute running clock, complete:; 250 Meter Row; Push-Ups x Max Reps; Rest 2 minutes between sets and complete four sets"
1669,"In teams of 5, with only one teammate allowed per station, complete as many rounds and reps as possible in 30 minutes of:; Station 1 ? 300 Meter Row; Station 2 ? 30/15 Push-Ups; Station 3 ? 30 Box Jump Overs; Station 4 ? 30 Goblet Squats"
1670,A.; Three sets of:; Kneeling Kettlebell Halos x 3-5 reps each direction; Rest 45 seconds; Overhead Squat x 6-8 reps; Rest 45 seconds; Dumbbell Renegade Rows x 5 reps; Rest 45 seconds; B.; Three rounds for time of:; 15 Strict Handstand Push-Ups or Seated DB Presses; 20 Alternating Front Racked Reverse Lunges; C.; Eight sets of:; 20 seconds of Hollow Rocks or Holds; Rest 10 seconds
1671,"Workout of the Day; Four sets of:; Deadlift x 6-8 reps @ 20X1; Rest 45 seconds; Russian Step-Ups x 10 reps per leg; Rest 45 seconds; Dumbbell Push Press x 8-10 reps; Rest 45 seconds;; and then,; Four rounds for time of:; Burpees x 10 reps; Kettlebell Swings x 20 reps"
1672,"Workout of the Day; A.; Five sets of:; Russian Kettlebell Swings x 20 reps; (make these heavy!); Rest 45 seconds; L-Seated Dumbbell Press x 10 reps @ 2111; Rest 45 seconds; Hollow Rock or Hollow Hold x 30-45 seconds; Rest 45 seconds; B.; Every 6 minutes, for 18 minutes (3 sets), for times:; Dumbbell Push Press x 10 reps; Box Jump Overs x 20 reps; Run 400 Meters"
1673,Workout of the Day; A.; Four sets of:; Ring Rows x 8-10 reps @ 2111; Rest 45 seconds; Lateral Lunges x 8-10 reps each leg @ 20X1; Rest 45 seconds; Partnered Leg Tosses x 15-20 reps; Rest 45 seconds; B.; Complete as many reps as possible in 7 minutes of:; 3 Thrusters (Dumbbell or Barbell); 3 Strict Pull-Ups; 6 Thrusters; 6 Strict Pull-Ups; 9 Thrusters; 9 Strict Pull-Ups; 12 Thrusters; 12 Strict Pull-Ups; 15 Thrusters; 15 Strict Pull-Ups
